zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
1/29/2025 11:16:21,X6TAA (329th HHC),Greater than 6 years but less than 12,Yes,,Yes,Federal TA,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,School paid for SLRP,Soldier care and AGR accountability ,I am interested in staying in to finish my masters degree and insurance. ,AGR accountability and soldier care. BN and RSG are too removed from line units and don’t understand the requirements of an MDAY,,,,,,,Yes,
1/29/2025 11:40:14,X3YF3 (1030th BN),Greater than 12 years,Yes,No,Yes,Post 911,No,No,Yes,Yes,Yes,Yes,No,Gave me something to do after high-school since I was undecided on future at the time.,Politics and lack of promotion opportunities for E6 and above.,"Politics and lack of promotion opportunities for E6 and above. Also, this new generation of soldiers are not as committed to the mission of the guard. It took me 18 years before I requested to split from drill because I understood the sacrifice.  They don't care and nothing is done to them for not showing up because the guard only care about numbers now, not discipline. ","Hold soldiers more accountable and give them more opportunities to actually do their job. For example,  I'm in a transportation company.  Put soldiers on orders/ not split from drill or RMAs to do real world missions. I see civilian contractors consistently transporting military equipment that we have the capability to do. ",,,,,,,Yes,Show more appreciation for our hard work and sacrifice 
1/29/2025 11:50:30,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,No,Yes,Gi bill state TA,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Good times ,"Repetitive trainings with no advanced training, only shoot once or twice a year, no cooperative training with other units, no unique training, higher command making units wait on Sunday for longer than needed  ","May reenlist but bonus is way too low for 6 years and no one cares about a jacket, a bag or Woobie hoodie ","Time management, if soldiers are done training then release, have more advanced training, sim rounds, more blanks, more live ammo. Have force on force training, units v other units. Unit cooperation, with infantry units training with aviation units( air assaults, air movements, air lifts) armor units (MOUT) medical units (TCCC) etc ",,,,,,,Yes,
1/29/2025 12:06:32,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,,Yes,"GI Bill and state TA. Yes I had issues, my leadership did not notify me of the proper channels to complete it. I was told that I should wait for my GI Bill, that I would eventually get it paid like my signing bonus when that is not how it works, and because of that misinformation I missed out on much of it.",No,No,Yes,No,No,No,Yes,Nationalism and school benefits.,Bonus issues.,"I extended by 6 months to decide if I wanted to stay in, but apparently adding 6 months over my initial 6 year contract makes me unable to get a bonus for reenlistment. I was on the fence when a bonus was on the line, with no bonus on the line I am no longer on the fence.",Better benefits teaching.,,,,,,,No,
1/29/2025 12:16:27,X3YF3 (1030th BN),Greater than 12 years,Yes,No,Yes,Post 9/11,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,Opportunity, Nothing,I’m only a handful of years away from hitting my 20. ,The flexibility to take a “sick” day. Or being able to split last minute without feeling like you’re a horrible person. ,,,,,,,Yes,NA
1/29/2025 12:50:58,X3YF3 (1030th BN),Greater than 6 years but less than 12,No,No,No,,No,Yes,Yes,No,No,No,Yes,Insurance ,Nothing,I am ready to be done. ,None,,,,,,,Yes,
1/29/2025 18:07:45,8BJAA (JFHQ),Greater than 6 years but less than 12,Yes,,Yes,TA,Yes,No,Yes,Undecided,Yes,Yes,Yes,Patriotism ,Toxic leadership,I’m AGR,Better leadership,,,,,,,No,
1/29/2025 18:29:50,X3YF3 (1030th BN),Greater than 6 years but less than 12,No,N/A,No,,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,E6,Nothing,Benefits ,Money,,,,,,,Yes,
1/29/2025 19:18:17,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,No,Na,No,,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Once a month prior active duty ,Growing family and location ,Would like to grow in my current civilian job,Family involvement and fun activities for individual families/ get away trips ,,,,,,,Yes,
1/29/2025 19:18:39,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,No,No,No,,No,No,No,Undecided,Yes,I am happy in my current MOS,Yes,I wanted to serve my county.,Nothing,I’m interested in re-enlisting and staying in for the full 20,None,,,,,,,No,
1/29/2025 19:43:41,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,"Syria / Iraq. However, I understand it can change. ",Yes,Post 911 GI Bill,Yes,No,Yes,Undecided,No,No,Yes,I’m prior service. Missed it. Needed it for mental health. ,"Laziness, lack of discipline within the unit. Woke agenda. PRONOUNS.  ",I’m going to extend for my own mental heath. I need the military. ,Allow us to travel. AT should be in other states/countries.  ,,,,,,,Yes,
1/30/2025 11:45:28,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,No,No,,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,The bonus,The quality of the average soldier,Tricare is affordable ,Effective but fun training. Stop with the “check the box” mindset,,,,,,,Yes,
1/30/2025 11:45:43,PHPAA (1-116th INF BN),Less than 3 years,No,,No,,No,Yes,No,No,No,No,No,School,Everything ,It sucks,Everything ,,,,,,,No,
1/30/2025 12:29:53,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,Not deploying,No,,No,No,No,Undecided,No,Yes,Yes,Nothing else to do after schools closed down ,High turnover rate of individuals and lack of communication from chain. Rushed to get things done with no info of what we’re doing until it was needed to be done an hour prior. Lack of planning ahead of time from command and higher. Lack of rest plan in prior years for lower enlisted. Lack of upkeep with equipment in prior years leading to having to “deal with or work through” leading to multiple deficiencies to equipment. High lack of morale from prior years leading into newer TY’s. Lack of thorough promotions and choices and not promote someone because you want them out of the unit. With new guidelines for how units will be ran it does not make sense to continue training as if we were the same army when in the near future we will be training in a separate way. ,My time is coming to an end and have little heart to continue. Stressor that is in my life now having to consistently change from military to civilian and lose time at my civilian job and using up my leave for civilian job to come to drill. Missing out on potential clients to make money that is not covered by military pay to accommodate. I am undecided but believe my career will end after this contract due to reasons stated above. Love the people I work with at my level but feel there is a certain level of incompetence some degree higher. ,Having time to communicate and get to know lower enlisted. Proper rest and meal plans instead of hoping to be done early. Higher communication from the “top down” and open communication within reason of plans. Treat soldiers as humans and not machines that can be worked endlessly. This survey should have been written answer as there could be additional reasons to these questions and not just a yes or no. ,,,,,,,Yes,
1/30/2025 14:12:53,X6TAA (329th HHC),Greater than 6 years but less than 12,Yes,No,No,,No,No,Yes,Yes,No,Yes,Yes,College money,Leadership changes before it’s fine now,I already reenlisted,More exciting training,,,,,,,Yes,
1/30/2025 15:33:52,PHPAA (1-116th INF BN),Greater than 12 years,Yes,N/A,Yes,Tuition Assistance ,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits for college ,None ,None ,More realistic training as a PLT or Company ,,,,,,,Yes,N/A
1/30/2025 15:49:51,PHPAA (1-116th INF BN),Greater than 12 years,Yes,No,Yes,1606/1607 Post 911. Nonissues,No,No,Yes,Yes,Yes,Yes,Yes,Sense of service,Not much,I am interested ,Unsure,,,,,,,Yes,
1/30/2025 16:09:53,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,,Yes,GI bill college credits. No.,Yes,No,No,No,No,No,No,To gradually begin separating completely.,Soldiers not joining to be the best the country has to offer. They don’t want to train they just want to sit around and complain. Higher leadership using their most qualified soldiers to check a box and in return showing no appreciation nor gratuity to those said soldiers.,I’m not reenlisting because the army has become weak bodied and weak minded not only in garrison but also down range. ,"I would actually have them train like an infantryman should. Sleeping outside, real MOS training with multiple scenarios other than outdated battle drills that we do every month. Enforcing structure that built the infantry to be what it was once known for. Acknowledging good and hard working soldiers with schools and promotions and team/ squad leader roles instead of saying “you did the best out of the whole brigade” and leaving it at that. It’s honestly been quite unsettling watching fellow soldiers with higher rank be worse at their jobs and duties than lower enlisted. The respect and gratitude had been misplaced. ",,,,,,,Yes,I feel used for my knowledge and experience but appreciation I feel like none is given or acknowledged.
1/30/2025 16:12:17,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,I wanted to serve my country and be a part of something greater ,N/A,N/A,I would make it to where soldiers got paid mileage to come to drill. I live almost 250 miles away from my armory and it negatively impacts my finances. I believe this is a big retention issue with the guard ,,,,,,,No,
1/30/2025 16:12:39,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,No,,No,,No,Yes,Yes,No,No,No,Yes,To finish my 8 years after i had left active,The army is getting soft,"The army is getting soft, the government doesnt care at all, and this job isnt worth it anymore",Make the army strong again,,,,,,,Yes,
1/30/2025 16:17:46,V6VAA (1-116th HHC),Less than 3 years,Yes,,Yes,FASFA,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,I always new I wanted to serve so I said why not.,Nothing ,No,To let them out early if where not doing anything else and everything is completed instead of keeping them longer than that.,,,,,,,No,
1/30/2025 16:22:33,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,No,When and where ,No,,No,No,Yes,Yes,No,I am happy in my current MOS,Yes,Continued service ,I have children ,I do plan on reenlistment ,Events near home drills ,,,,,,,Yes,
1/30/2025 16:52:51,PHPAA (1-116th INF BN),Greater than 12 years,Yes,No,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Tricare,N/A,Finish 20 years,Cooler training.,,,,,,,Yes,
1/30/2025 16:56:37,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,Yes,No,,No,No,No,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Family has served ,N/A,N/A,New equipment and less time on the road ,,,,,,,Yes,
1/30/2025 17:39:02,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,N/a,Yes,FEDERAL TA ,No,No,No,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Education benefits,Incompetent people and lack of development in the NCO Corp ,I am extending because this is my career. ,More school opportunities. G3 and MSC denying apps due to not being required to the position. ,,,,,,,Yes,
1/30/2025 17:53:41,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,N/A,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Want to serve my country and serve my community ,N/A,N/A,To have advanced training on different weapon systems and required soldiers to go to different schools and courses ,,,,,,,Yes,
1/30/2025 17:59:08,PHPAA (1-116th INF BN),Less than 3 years,No,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,I wanted to have fun,Not,I am interested because I want to go ranger school.,Nothing,,,,,,,No,
1/31/2025 10:30:04,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,My family members served ,How the military handle certain situations involving soldiers ,Having to give up certain opportunities just to become a technician in the military ,Start letting soldiers go to the schools they are interested in. Doing more missions to help with team development and building ,,,,,,,No,
1/31/2025 10:35:24,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,No,No,N/A,No,No,Yes,Yes,Yes,Yes,Yes,Change Of Pace,School Seats,N/A,Funding For Schools,,,,,,,Yes,
1/31/2025 10:53:38,X6TAA (329th HHC),Greater than 12 years,Yes,No,Yes,GI Bill ,Yes,No,Yes,No,I am happy at my current unit,No,Yes,"Military is a family tradition, pride to achieve and serve ",The military is not the same military as when I joined.,I enlisted in 2008 so I am close to my 20 years of service,Communication in soldier care,,,,,,,Yes,
1/31/2025 11:06:14,X3YF3 (1030th BN),Greater than 12 years,Yes,,Yes,Post 911,No,Yes,Yes,No,No,No,Yes,Economy ,Soldier's Care,Soldier's Care,Soldier's Care and Accountability ,,,,,,,Yes,
1/31/2025 11:44:53,X6SF3 (529th BN),Greater than 12 years,Yes,No,Yes,GI Bill,No,No,Yes,Yes,Yes,Yes,Yes,Money (Bonus),N/A,N/A,More Money,,,,,,,Yes,
1/31/2025 12:04:21,X3YF3 (1030th BN),Less than 3 years,No,,No,,Yes,No,Yes,No,I am happy at my current unit,No,Yes,Something different ,Nothing,Never planned to reenlist ,"Character, better character",,,,,,,No,
1/31/2025 12:09:42,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,,No,,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Misplaced faith in an officer,"Bad leadership. A platoon sergeant (mentioned in following question) who worked to pit platoons, squads, people against each other. Not in a friendly competition way, but in a blame each other for any snafu (including ones caused by said PSG).","A senior NCO put hands on a lower ranking soldier for calling out the seniors disrespectful behavior and the lower ranking soldier advised to keep quiet because only the lower ranking soldier would get a serious punishment for insubordination, whereas the senior would get a counseling that wouldn't affect them beyond a piece of paper.",Addressing poor/toxic leadership. More training/missions and better/proactive management of resources/personnel.,,,,,,,No,
1/31/2025 12:28:09,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,How much heads up will we get?,Yes,Tuition Assistance ,No,No,Yes,Yes,Yes,Yes,Yes,Felt right,Lack of school openings/funding to send. Inconsistent soldier expectations,"I want to change my MOS, but do find enjoyment with my current position ","More schools, fair treatment between the PLTs (2nd looks like they get more action), and actually schedule AND grant sergeants time. I mean time actually scheduled into the drill weekend specifically for squad leaders to sit down with their squad for at least an hour or two and just talk with them and get things done (going over support forms, reviewing NCOERs, answer questions, have a cohesive conversation with the whole group about leadership, opportunities, goals, etc) where it isn't seen as ""free space"" to schedule another redundant class. I want this to be acknowledged as the productive use of time that it is.",,,,,,,Yes,
1/31/2025 12:30:11,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,Yes,Yes,Yes,Yes,To be a MilTech and a WO ,"Finding information and communicating with CoC for some admin stuffs, such as promotion points I can receive.",I hope the unit and R&R will transparently and actively assist soldiers in reclassifying into an MOS that truly suits them as a condition for their extension.,"To improve the morale of soldiers within my company or battalion, I would focus on three key areas: leadership engagement, professional development, and soldier welfare.

Leadership Engagement – Strong leadership is the foundation of high morale. I would ensure that leaders at all levels are actively engaged with their soldiers, fostering an environment of trust and open communication. Regular check-ins, town hall meetings, and anonymous feedback channels would help identify concerns early and address them effectively.

Professional Development – Soldiers need to feel that their careers are progressing. I would advocate for increased training opportunities, MOS-specific certifications, and leadership development programs. Additionally, I would work with retention and R&R teams to ensure soldiers have clear paths to reclassify into MOSs that align with their skills and career goals if they choose to extend their service.

Soldier Welfare – Ensuring soldiers' well-being directly impacts morale. I would push for improvements in work-life balance by enforcing reasonable duty schedules, increasing access to mental health resources, and recognizing outstanding performance through awards and incentives. Additionally, team-building activities, mentorship programs, and unit events would strengthen cohesion and unit pride.",,,,,,,Yes,
1/31/2025 14:06:54,PHPAA (1-116th INF BN),Less than 3 years,No,,Yes,"Tuition Assistance, no",No,Yes,Yes,Undecided,I am happy at my current unit,Yes,Yes,"Family history, college money, desire to serve something greater than myself",The amount of sleep we get has varied wildly with different commanders.,"Negative
It feels like a bunch of busy work with very little training of actual substance accomplished. I have seen many good friends of mine miss important life events to attend training. My entire unit has been repeatedly sleep deprived to a dangerous extent before being asked to drive long distances (e.g. 7+ hours driving after less than 3 hours of sleep in a 48 hour period). The army was half a year late to paying me my initial enlistment bonus. I do not know if I am willing to continue putting the pressure of my military service onto my friends and family. I feel the military has an overall negative impact on my mental health. There have been days where my unit did not feed us at all. I personally feel my service means nothing and has helped nobody. We do not get gas money and some of my friends lose money coming to drill because of this.
Positive
For students the pay is good. When we do actual training rather than sitting in the armory aimlessly I enjoy my job. I enjoy the other people in my unit. I want to go on deployment. I like shooting.",Ensure soldiers actually get sleep. Do whatever possible to ensure training time is actually spent training and not sitting around struggling to find tasks to do.,,,,,,,No,
1/31/2025 14:11:49,X3YF3 (1030th BN),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,To serve,Leadership ,I'm re-enlisting,Just communicate and interested pushing soldiers to better themselves ,,,,,,,Yes,
1/31/2025 14:14:27,X6TAA (329th HHC),Greater than 12 years,Yes,No,Yes,State and Federal TA/GI Bill,Yes,No,Yes,Undecided,I am happy at my current unit,No,Yes,Serve my country ,Time!!,I have 31 years in and I want to leave this to the young kids,Listen to and take care of Soldiers genuinely ,,,,,,,Yes,
1/31/2025 14:14:41,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,NA,Yes,"Montgomery GI, Federal TA",No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,NA,Lack of accountability/reprimanding ,I am re-enlisting for the education benefits,More missions/ opportunities for schools,,,,,,,Yes,NA
1/31/2025 15:01:34,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,No,Yes,"STAP, FTA, and Chapter 1606 ",No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,I wanted to serve but also keep my civilian career,Disorganization and Lack of opportunities to attend more schools,"I would like to extend my re-enlistment or even commission. If I do so, I want  to have my activity in the Army to be better aligned with my civilian professional growth. 
CONTEXT: I have been working for a cloud software company for 12 years doing customer service. However, I am exploring a change in careers and I am interested in entering the Intelligence community. I have a Master's degree in Political sciences with a concentration on International Security, I am a native Spanish speaker, fluent in English an currentlyd learning French. My ASVAB scores meet and exceed the thresholds for a commission or a reclass to any of the M.I. MOS, and I'm in the green on everything in my Army record. However,  I have learned that availability of E-5 slots for  M.I. related MOS in the VAARNG is extremely limited and if I commission there is no guarantee that I would be a 35A. Given this situation I'm considering either switching to the Army Reserves at the end of my contract (05FEB2026) or ETS. Any help is appreciated.","More resources to have combat ready vehicles and drive more during drill weekends, more access to Army schools, better organization (timely communications for upcoming missions, school availability, etc.)",,,,,,,Yes,No comment
1/31/2025 15:02:37,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,,Yes,"GI Bill, tuition assistance ",No,Yes,Yes,Undecided,Yes,Yes,Yes,"Benefits, healthcare",Poor/uncaring leadership - not at this unit,Currently weighing options,Add purpose to drill instead of random training/pmcs,,,,,,,Yes,
1/31/2025 15:13:56,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,No,No,,No,Yes,No,No,Yes,Yes,No,My recruiter was the best and understood me and what I wanted todo in this ,The way that my unit continues to show me that no matter the situation that might accrue they will always be child like and not resolve or act in an appropriate manner ,I am not interested in extending at the current moment for many reasons one for the national guard to be part time it is not like that. Two my unit continues to prove they are child like. It’s all about ego and saving your own face no matter the expense of your soldier. ,I would actually have people on the ground or in a zoom listening to the actually real problems. Stop giving us answers we already heard and dealt with ,,,,,,,No,They say communicate and we will help and then when you ask for help they make any excuse not to help 
1/31/2025 15:27:31,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,No,No,,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits,None,I am. Educational benefits for my kids. VA loan. Bonus,Gas reimbursement,,,,,,,No,
1/31/2025 15:43:58,X3YF3 (1030th BN),Less than 3 years,No,,No,,No,No,Yes,No,No,No,Yes,College reasons,I just realized it’s not for me,I’m not re-enlisting because this is not a career I want to persue ,N/a the morale is great at my unit ,,,,,,,No,
1/31/2025 15:45:41,X3YF3 (1030th BN),Less than 3 years,No,,No,,No,No,Yes,No,No,No,Yes,College reasons,I realized it’s not for me,The military is not a career I want to persue ,N/a morale is great at my unit,,,,,,,No,
1/31/2025 17:39:41,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,,Yes,Army ignited/ no issues,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Continued service,Policy changes ,There are many advantages to serving and the pros outweigh the cons. Aside from the fact that service to our country and community is vital,Better unit swag,,,,,,,Yes,
1/31/2025 21:58:09,PHPAA (1-116th INF BN),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Insurance and retirement,"Woke crap, having to do R&Rs job, MUTA 5s instead of MUTA 6s, having to deal with stupid briefings that don't make me anymore if an effective Soldier. ","Woke crap, having to do R&Rs job, MUTA 5s instead of MUTA 6s, having to deal with stupid briefings that don't make me anymore if an effective Soldier. ","Stop cramming 15 pounds of crap into a 5 pound bag. Cut out the useless briefings, stop making us do R&R's job, we have enough to do as it is. ",,,,,,,Yes,
2/1/2025 6:37:53,97PAA (91st Cyber),Greater than 12 years,Yes,Not deploying,Yes,"GI Bill, Federal TA and State TA",No,No,Yes,Yes,Yes,Yes,Yes,Patriotism and a family history of service,The woke nature of the military ,I am interested ,Leadership ,,,,,,,Yes,
2/1/2025 7:08:19,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,No,,Yes,No,Yes,No,No,No,Yes,Boredom of civilian life ,Negative or poor leadership in different units ,Tired of revolving my life around the drill schedule and planning things with family and last minute cancellation of plans especially non refundable trips ,Better communication ,,,,,,,Yes,
2/1/2025 7:48:00,X3YF3 (1030th BN),Less than 3 years,No,No,No,N/A,No,Yes,No,No,No,No,No,Wanted to do something fun and crazy ,N/A,N/A,N/A,,,,,,,No,N/A
2/1/2025 7:48:19,X3YF3 (1030th BN),Less than 3 years,No,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits,Nothing,Retirement ,Nothing ,,,,,,,No,
2/1/2025 7:48:39,X3YF3 (1030th BN),Less than 3 years,No,No,Yes,TA,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Education benefits,No,Looking to extend education benefits,More organization for training weekends,,,,,,,No,
2/1/2025 7:48:52,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,,No,,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Bonus,"Being flagged unnecessarily, bonus not being paid",I would reenlist if I got a bonus,Better time management by leadership,,,,,,,No,
2/1/2025 7:49:01,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,No,No,,No,No,Yes,No,No,No,Yes,Benefits ,Nonething,I’m just ready to get out time was fun ,More interesting training ,,,,,,,No,
